"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/7f8e182b-cf35-444d-a349-ce88f894d0ca-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","1","Ninja","81653400","6000","33146","13608","17115957","94191","3366070","true","false","English","Ninja"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ec898e4a-e0df-4dc0-a99d-7540c6dbe1e8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","2","auronplay","550654620","5730","188867","96100","10885716","223727","9797203","true","false","Spanish","auronplay"
"https://static-cdn.jtvnw.net/jtv_user_pictures/82b63a01-628f-4c81-9b05-dd3a5011fdda-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","3","Tfue","98498130","11685","47501","8429","10763564","48211","2795631","true","false","English","Tfue"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a2592e98-5ba6-4c9a-9d9e-cf036d6f64c2-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","4","Rubius","226259700","6705","96697","33744","10500519","157010","7146862","true","false","Spanish","Rubius"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5e0c6-0191-4eef-8328-4af6e4ea5318-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","5","shroud","388586865","15120","82711","25700","9856169","76881","9962110","true","false","English","shroud"
"https://static-cdn.jtvnw.net/jtv_user_pictures/xqcow-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","6","xQcOW","1246378680","17265","149920","72191","9611394","170105","15222588","true","false","English","xQcOW"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3114b8ed-cade-4141-928d-f47c49f53861-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","7","TheGrefg","530933235","16260","236975","32652","8734823","268703","13007067","true","false","Spanish","TheGrefg"
"https://static-cdn.jtvnw.net/jtv_user_pictures/574228be-01ef-4eab-bc0e-a4f6b68bedba-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","8","ibai","429005235","6585","639962","65148","8542187","215965","11871296","true","false","Spanish","ibai"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6cd4de40-1a83-46c7-aea5-3bd73f90e7e4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9","pokimane","95874315","4665","37099","20551","8431050","75688","4139486","true","false","English","pokimane"
"https://static-cdn.jtvnw.net/jtv_user_pictures/23ff75f6-cce0-4071-8e45-9c9edb5281d7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","10","Heelmike","2772090","2340","3168","1184","7390549","7006193","59046","true","true","English","Heelmike"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c814f430-44bd-41c5-aa47-edf2360d5e74-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","11","Myth","27874530","8040","8110","3466","7366491","7366","982694","true","false","English","Myth"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1a50f189-3f73-4a93-a6e4-d53e8a26fceb-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","12","tommyinnit","62674050","780","261510","80351","6832495","100963","1401373","true","false","English","tommyinnit"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b3c347ed-1a7a-40a2-8bee-8a7c4426eb33-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","13","NICKMERCS","331958445","13920","58920","23847","6250311","39931","4417795","true","false","English","NICKMERCS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/804e9c9b-cf57-4821-80e7-efc6d5b0928e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","14","Riot Games (riotgames)","63200415","3540","176633","17853","6057233","154107","8435315","true","false","English","Riot Games (riotgames)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/74586414-e27b-4347-89c5-109e42ac3e1d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","15","juansguarnizo","377229405","12315","75840","30631","6027706","281076","9199302","true","false","Spanish","juansguarnizo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","16","summit1g","257740920","17220","55138","14967","6009394","9969","3739671","true","false","English","summit1g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/15cec952-c1ba-4ff8-a79c-53c2fa5bd269-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","17","alanzoka","141186975","7770","33780","18170","5333393","50813","3158040","true","false","Portuguese","alanzoka"
